Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$28,192.70","+$4,542.16"
Performance,Total_Return,136.51%,181.93%,+45.42%
Performance,Annualized_Return,18.80%,23.05%,+4.25%
Risk,Sharpe_Ratio,N/A,5.44,N/A
Risk,Max_Drawdown,N/A,-5.71%,N/A
Trading,Win_Rate,N/A,24.62%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,1.33x,+33.27%
Comparison,Excess_Return,0.00%,+45.42%,+45.42%
Comparison,Return_Ratio,1.00:1,1.33:1,N/A
