Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$20,624.30","+$-3,026.24"
Performance,Total_Return,136.51%,106.24%,+-30.26%
Performance,Annualized_Return,18.80%,15.59%,+-3.21%
Risk,Sharpe_Ratio,N/A,4.34,N/A
Risk,Max_Drawdown,N/A,-5.54%,N/A
Trading,Win_Rate,N/A,24.62%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,0.78x,-22.17%
Comparison,Excess_Return,0.00%,-30.26%,-30.26%
Comparison,Return_Ratio,1.00:1,0.78:1,N/A
