Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$21,835.66","+$-1,814.88"
Performance,Total_Return,136.51%,118.36%,+-18.15%
Performance,Annualized_Return,18.80%,16.92%,+-1.88%
Risk,Sharpe_Ratio,N/A,3.85,N/A
Risk,Max_Drawdown,N/A,-7.04%,N/A
Trading,Win_Rate,N/A,22.94%,N/A
Trading,Total_Trades,N/A,109,N/A
Comparison,Alpha,1.00x,0.87x,-13.30%
Comparison,Excess_Return,0.00%,-18.15%,-18.15%
Comparison,Return_Ratio,1.00:1,0.87:1,N/A
