Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$19,989.73","+$-3,660.81"
Performance,Total_Return,136.51%,99.90%,+-36.61%
Performance,Annualized_Return,18.80%,14.87%,+-3.93%
Risk,Sharpe_Ratio,N/A,3.89,N/A
Risk,Max_Drawdown,N/A,-5.55%,N/A
Trading,Win_Rate,N/A,23.31%,N/A
Trading,Total_Trades,N/A,133,N/A
Comparison,Alpha,1.00x,0.73x,-26.82%
Comparison,Excess_Return,0.00%,-36.61%,-36.61%
Comparison,Return_Ratio,1.00:1,0.73:1,N/A
