Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$21,901.64","+$-1,748.89"
Performance,Total_Return,136.51%,119.02%,+-17.49%
Performance,Annualized_Return,18.80%,16.99%,+-1.81%
Risk,Sharpe_Ratio,N/A,4.23,N/A
Risk,Max_Drawdown,N/A,-5.10%,N/A
Trading,Win_Rate,N/A,25.00%,N/A
Trading,Total_Trades,N/A,120,N/A
Comparison,Alpha,1.00x,0.87x,-12.81%
Comparison,Excess_Return,0.00%,-17.49%,-17.49%
Comparison,Return_Ratio,1.00:1,0.87:1,N/A
