Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$18,541.88","+$-5,108.66"
Performance,Total_Return,136.51%,85.42%,+-51.09%
Performance,Annualized_Return,18.80%,13.15%,+-5.65%
Risk,Sharpe_Ratio,N/A,3.26,N/A
Risk,Max_Drawdown,N/A,-6.20%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,0.63x,-37.42%
Comparison,Excess_Return,0.00%,-51.09%,-51.09%
Comparison,Return_Ratio,1.00:1,0.63:1,N/A
