Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$21,692.48","+$-1,958.05"
Performance,Total_Return,136.51%,116.92%,+-19.58%
Performance,Annualized_Return,18.80%,16.76%,+-2.04%
Risk,Sharpe_Ratio,N/A,3.88,N/A
Risk,Max_Drawdown,N/A,-5.16%,N/A
Trading,Win_Rate,N/A,23.39%,N/A
Trading,Total_Trades,N/A,124,N/A
Comparison,Alpha,1.00x,0.86x,-14.34%
Comparison,Excess_Return,0.00%,-19.58%,-19.58%
Comparison,Return_Ratio,1.00:1,0.86:1,N/A
