Date,Regime,Trend,Vol,QQQ_Close,QQQ_Daily_Return,Portfolio_Value,Strategy_Daily_Return
2009-02-26 22:00:00-08:00,Cell_3,Sideways,Low,27.79,0.0,10000.0,0.0
2009-02-27 06:00:00-08:00,Cell_3,Sideways,Low,27.53,-0.009355883411299028,10000.0,0.0
2009-03-02 22:00:00-08:00,Cell_3,Sideways,Low,26.64,-0.032328369051943334,10000.0,0.0
2009-03-03 22:00:00-08:00,Cell_3,Sideways,Low,26.62,-0.0007507507507507507,10000.0,0.0
2009-03-04 22:00:00-08:00,Cell_3,Sideways,Low,27.33,0.02667167543200601,10000.0,0.0
2009-03-05 22:00:00-08:00,Cell_3,Sideways,Low,26.51,-0.03000365898280278,10000.0,0.0
2009-03-06 06:00:00-08:00,Cell_3,Sideways,Low,26.3,-0.007921539041870993,10000.0,0.0
2009-03-09 22:00:00-07:00,Cell_3,Sideways,Low,25.74,-0.02129277566539924,10000.0,0.0
2009-03-10 22:00:00-07:00,Cell_3,Sideways,Low,27.33,0.06177156177156177,10000.0,0.0
2009-03-11 22:00:00-07:00,Cell_3,Sideways,Low,27.75,0.015367727771679473,10000.0,0.0
2009-03-12 22:00:00-07:00,Cell_3,Sideways,Low,28.67,0.033153153153153155,10000.0,0.0
2009-03-13 05:00:00-07:00,Cell_3,Sideways,Low,28.74,0.002441576560865016,10000.0,0.0
2009-03-16 22:00:00-07:00,Cell_3,Sideways,Low,28.26,-0.016701461377870562,10000.0,0.0
2009-03-17 22:00:00-07:00,Cell_3,Sideways,Low,29.33,0.03786270346779901,10000.0,0.0
2009-03-18 22:00:00-07:00,Cell_3,Sideways,Low,29.7,0.01261506989430617,10000.0,0.0
2009-03-19 22:00:00-07:00,Cell_3,Sideways,Low,29.68,-0.0006734006734006734,10000.0,0.0
2009-03-20 05:00:00-07:00,Cell_3,Sideways,Low,29.18,-0.016846361185983826,10000.0,0.0
2009-03-23 22:00:00-07:00,Cell_3,Sideways,Low,30.9,0.05894448252227553,10000.0,0.0
