Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$35,773.13","+$12,122.60"
Performance,Total_Return,136.51%,257.73%,+121.23%
Performance,Annualized_Return,18.80%,29.06%,+10.26%
Risk,Sharpe_Ratio,N/A,5.67,N/A
Risk,Max_Drawdown,N/A,-5.82%,N/A
Trading,Win_Rate,N/A,23.31%,N/A
Trading,Total_Trades,N/A,133,N/A
Comparison,Alpha,1.00x,1.89x,+88.81%
Comparison,Excess_Return,0.00%,+121.23%,+121.23%
Comparison,Return_Ratio,1.00:1,1.89:1,N/A
